Index,Comentario,Fecha;;;;,clasificacion,valoracion
11,una buena experiencia muy agradable sus animales que cuenta este parque muy bien cuidados los restaurantes tienen una co,6 de agosto de 2024;;;;,"animales, buffet, general",Positivo
12,llevar ropa comoda  agua ahi mismo te venden una botella de aluminio la cual puedes recargarla varias veces las que quieras la comida muy buena,5 de agosto de 2024;;;;,"no clasificable, buffet","Neutro, Positivo"
13,Atencion al cliente en panaderia del pueblo Mexicano.,1 de agosto de 2024;;;;,no clasificable,neutro
14,"El dia de ayer 3 de agosto 2024,fui al parque todo genial,fuimos a la panaderia  del pueblo Mexicano,que es delicioso,pero esta vez no puedes el pan estaba super salado,le hice el comentario  a la srita y se super molesto,me avento  el pan con todo y abejas.  ..sugiero que les deberian de dar capacitacion  del servicio  al cliente,..y un taller de tolerancia y saber como controlar  sus emociones..(",30 de julio de 2024;;;;,"general, buffet, trato personal, no clasificable","Positivo, Negativo, Negativo, Neutro"
15,Buena,21 de julio de 2024;;;;,<general>,Positivo
16,Perdi ropa es posible recuperarla en donde puedo tomar informacion fui ente el 20 y 23 de junio pero estoy de vuelta y me gustaria saber si encontraron algo,21 de julio de 2024;;;;,<no clasificable>,Neutro
17,Supero nuestras expectativas!,20 de julio de 2024;;;;,<general>,Positivo
18,"El parque tiene muchas atracciones y es para pasar todo el dia. Nadar en el rio es una experiencia unica. recomiendo llevar ropa de agua y tambien zapatillas o tenis para cambiarte porque caminas mucho dentro del parque. El acuario, el aviario, el mariposario son hermosos y en todo aprendes sobre los animales. El show de la ciudad maya por favor no se lo pierdan, es muy emocionante conocer de primera mano como era su cultura. El show del final del dia es asombroso, lleno de colores, musica y cultura mexicana. Hay suficientes lugares para comer y todo esta muy limpio.",20 de julio de 2024;;;;,"general, naturaleza/atracciones, animales, show, buffet","Positivo, Positivo, Positivo, Positivo, Positivo"
19,Es hermoso el parque los disfrutas a cualquier edad. Es para todas las edades. Ir con gorra para el sol.Protector y repelente!!!,20 de julio de 2024;;;;,"<general>, <naturaleza/atracciones>, <no clasificable>","Positivo, Positivo, Neutro"
20,Hermosa experiencia. Hive todo el dia recorrido de parque y finalice con show nocurno. Show de 2 horaa es super hermoso. Vale 100 % la pena. Llevar funda para el celu para agua para hacer recorrido de rios. Y zapatillas de agua. Adentro del parque se camina mucho.,14 de julio de 2024;;;;,"general, show, naturaleza/atracciones","Positivo, Positivo, Positivo"
21,Xcaret,14 de julio de 2024;;;;,<no clasificable>,Neutro
22,Realmente increible Xcaret,13 de julio de 2024;;;;,<general>,Positivo
23,Puma con sed,13 de julio de 2024;;;;,"animales, no clasificable",negativo
24,"Increible experiencia , lo unico que me molesto y me dio pena , fue el puma ( no es de esta zona ) y estaba muerto de sed , tiene el espacio para tomar agua muy expuesto al sol , donde se quemaba las tapas al querer ingresar , deberian tenerle el agua mas  fresca y a la sombra.",12 de julio de 2024;;;;,"general, animales","Positivo, Negativo"
25,"El espectaculo Nocturno es una belleza de nuestro Mexico Magico, siempre innovando, una gran experiencia en familia",12 de julio de 2024;;;;,"show, general",positivo
26,"Un lugar verdaderamente hermoso, nos hizo falta tiempo para recorrerlo completo pero el recorrido subterraneo una maravilla",11 de julio de 2024;;;;,"general, naturaleza/atracciones",Positivo
27,,8 de julio de 2024;;;;,No disponible,No disponible
28,"Sinceramente fue una de las mejores experiencias de mi vida, me gusto todo el parque,aunque debo admitir que no me dio tiempo de recorrer todo ya que tenia muchas actividades,tambien pague el paquete de fotos pero lastimosamente paso el tiempo determinado ya que perdi mi telefono tiempo despues,si hay alguna posibilidad de recuperar mis fotos se los agradeceria mucho ya les escribi a su correo de fotos pero aun no recibo respuestas y tampoco se puede por la aplicacion ya que me sale que esta vencido el codigo de fotos",4 de julio de 2024;;;;,"<general>, <no clasificable>","Positivo, Negativo"
29,Excelente,3 de julio de 2024;;;;,<general>,Positivo
30,Impecable. Hicimos snuba  y tambien el sea trek. Excelente los 2 !El snuba como primer experiencia de buceo es muy muy buenaLa comida en en el buffet estuvo tremendo tambien!!,1 de julio de 2024;;;;,"naturaleza/atracciones, buffet","Positivo, Positivo"
31,Unas vacaciones inolvidables compartienda con la naturaleza.,1 de julio de 2024;;;;,"general, naturaleza/atracciones",Positivo
32,"Son unos parques increibles, Xcaret, Xplor, combinan naturaleza, fauna, flora, diversion, adrenalina y muestran lo mejor de la cultura mexicana en su espectaculo nocturno. 100% recomendado para la familia. Unas vacaciones inolvidables.",28 de junio de 2024;;;;,"general, naturaleza/atracciones, show",Positivo
33,TODO ES MARAVILLOSO.....EXCEPTO SU DEPARTAMENTO DE TRASNPORTE A LOS REGRESOS.,26 de junio de 2024;;;;,"general, transporte a hoteles","Positivo, Negativo"
34,"El parque en general esta muy bien, con buenas instalaciones. Personal del parque genial. Destacar el Buffet Vera Cruz, buen trato y excelente comida.El espectaculo merece muchisimo la pena de disfrutarlo. En un entorno ideal y excelentemente ejecutado.Es un parque con muy buenas senalizaciones. Los precios, lo normal en sitios de tanto turismo. El sistema de fotografias es muy practico, pero siempre te sale rentable si consigues hacerte 100 fotos o mas, si no, mi opinion personal, el precio no es justo a la relacion a calidad-cantidad.Con la ampliacion ultima, en un dia verlo todo comodamente es dificil, asi que, seleccionar lo que querais ver, y un consejo es, que lo que haya en el espectaculo apartarlo del dia de parque porque luego lo vais a ver (ejemplo",25 de junio de 2024;;;;,"general, trato personal, buffet, show, precio, no clasificable","Positivo, Positivo, Positivo, Positivo, Neutro, Neutro"
35,Maravilloso,24 de junio de 2024;;;;,<general>,Positivo
36,"Muy bonito parque natural, bastante limpio y muy bien cuidado. Los espectaculos son de primera calidad y muestran parte de la cultura y tradiciones mexicanas. Todo el recorrido es hermoso. Vale la pena llegar temprano y disfrutar cada rincon, paisajes, fauna y no perderse de ningun espectaculo.",22 de junio de 2024;;;;,"general, naturaleza/atracciones, show",Positivo
37,"Xcaret se debe hacer si o si, una maravilla",19 de junio de 2024;;;;,<general>,Positivo
38,"El mejor parque que he visitado. Fuimos en familion de 10 desde adultos mayores hasta un nino de 5 anos, todos lo disfrutamos mucho. Increible como se penso cada detalle, desde los casilleros, los banos, los basureros, aunque nos llovio a mares igual lo agradecimos porque caminar 20 km al sol no se si hubiese sido lo mejor. Debo reconocer que no le tenia mucha fe al espectaculo de la noche pero me sorprendio el montaje y el espectaculo en general. Incluso, mi hijo menor que lo dio todo durante todo el dia cayo dormido y el personal a cargo nos dio sillas preferenciales para no tener que subir hasta el punto mas alto del teatro que ya estaba lleno.Puntos a mejorar dentro de tanta maravilla, los salvavidas podrian tener un upgrade para personas que no sabemos nadar o una tabla para facilitar el nado en los rios.El precio de las fotos con los delfines es demasiado elevado, o podria estar incluido en el precio global.Todo el resto es una maravilla, si quieren ver todo vayan muy temprano con ropa comoda.",17 de junio de 2024;;;;,"general, show, trato personal, naturaleza/atracciones, precio, no clasificable","Positivo, Positivo, Positivo, Positivo, Negativo, Neutro"
39,Ida bien vuelta pesima mala organizacion,14 de junio de 2024;;;;,"transporte a hoteles, no clasificable",Negativo
40,La excursion bien y el parque perfecto la ida del hotel al parque perfecto la explicacion de Denise muy buena pero a la vuelta pesimo malisima organizacion nos mandaron a diferentes autobuses mientras llovia muy fuerte cada persona del personal te decia una cosa diferente y cuando por fin nos subimos al autobus tuvimos que hacer una parada por que llevaba el autobus gente de otro hotel que no era el de nuestro complejo hotelero y otro chofer que su autobus iba a nuestro complejo unicamente y nos cerro la puerta en la cara diciendo que no habia sitio pero se veia que habia espacio libre.,10 de junio de 2024;;;;,"general, transporte a hoteles, trato personal","Positivo, Negativo, Negativo"
41,Cultura,11 de junio de 2024;;;;,no clasificable,Neutro
42,"Si vas a la riviera Maya definitivamente debes de visitar Xcaret. El parque es hermoso lleno de cultura, animales y. buena vibra. Aprendes muchisimo de historia. Super recomendado!!!!!",7 de junio de 2024;;;;,"general, naturaleza/atracciones, animales",Positivo
43,Mexico Espectacular!,6 de junio de 2024;;;;,"<general>, <show>",Positivo
44,"Sin duda yo tenia el deseo de traer a mi familia y conociera Xcaret principalmente que viviera la experiencia del show Mexico espectacular y la verdad fue verdaderamente hermoso, la comida deliciosa un excelente menu degustacion el servicio de primera y tengo que felicitar a Issac Dominguez por el servicio que supero nuestras expectativas, mi hija en un momento me abrazo y con lagrimas en sus pequenos ojos me dijo que estaba orgullosa de ser mexicana, mi hija tiene 9 anos y se que esta experiencia la va a recordar toda su vida... gracias Xcaret por tan hermosa velada y cena deliciosa.",5 de junio de 2024;;;;,"general, show, buffet, trato personal","Positivo, Positivo, Positivo, Positivo"
45,Los anos pasan.,4 de junio de 2024;;;;,<no clasificable>,<neutro>
46,"Esta es la tercera vez que lo visitamos, si lo comparamos con las veces anteriores lo encontramos algo descuidado. Entiendo que los anos y la cantidad de visitantes dejan huellas, pero si tenemos en cuenta el elevado costo, bien vale la realizacion de adecuadas tareas de conservacion. Muy bueno el Taller de Chocolate, como siempre Mexico Espectacular, sobresaliente. Antes se entregaba un practico plano en papel para guia, que junto a planos fijos, facilitaba el desplazamiento. Entiendo por razones ecologicas esto no se realiza mas. Sera por casualidad, pero en dos oportunidades dos visitantes me preguntaron sobre determinados lugares. La tecnologia no siempre es practica.",1 de junio de 2024;;;;,"general, naturaleza/atracciones, show, no clasificable","Negativo, Positivo, Positivo, Neutro"
47,Sobrevalorado,31 de mayo de 2024;;;;,<no clasificable>,Negativo
48,"Sobrevalorado, para el precio no vale la pena. Es un parque por el que no deberian cobrar mas de 80 dls, muchos animales en cautiverio en espacios pequenos, el paseo de los rios subterraneos es un espacio artificial que no tiene nada de maravilloso. En general rescato el show nocturno q si es impecable, el aviario y el snorkel pero que a pesar de eso jamas justifica a mi parecer el costo tan elevado de la entrada. Mi opinion usen eso para hacer cenotes, Cozumel, isla mujeres",29 de mayo de 2024;;;;,"general, precio, animales, show, naturaleza/atracciones","Negativo, Negativo, Negativo, Positivo, Negativo"
49,Sentimientos encontrados,2 de junio de 2024;;;;,no clasificable,Neutro
50,"Habiamos estado en el parque hace 13 anos y el recuerdo era excelente. Volvimos con un nino de tres anos, con cena en el espectaculo nocturno para los tres incluido.El parque tenia varios sectores cerrados. Por ejemplo la torre escenica no funcionaba y habia varias zonas en reparacion. El cementerio se notaba descuidado. No habia casi mariposas en el mariposario. Habiamos elegido el restaurante michoacan para almorzar y estaba cerrado, por cercania fuimos al Veracruz que fue de lo mas decepcionante",2 de junio de 2024;;;;,"general, naturaleza/atracciones, buffet, no clasificable","Negativo, Negativo, Negativo, Negativo"
51,Sin comentarios!!!,24 de mayo de 2024;;;;,no clasificable,Neutro
52,"Sinceramente iba con mucha ilusion ya que te dicen que siempre que vayas a Cancun tienes si o si que visitar Xcaret! Sin embargo fue super cansado, te recogen 6",22 de mayo de 2024;;;;,"<general>, <no clasificable>",Negativo
53,Paseo con amigos segunda visita a Mexico,22 de mayo de 2024;;;;,<general>,Neutro
54,"En mi paseo por Mexico queria repetir este hermoso parque y sus trayectos por los rios lentos que son un paseo inolvidable, esta vez tuve la oportunidad de hacerlo con otros amigos y la verdad los disfrutamos demasiado.Si visitas Mexico no te puedes perder este parque, hace parte de los infaltables.",1 de junio de 2024;;;;,"general, naturaleza/atracciones",Positivo
55,Ayuda,1 de junio de 2024;;;;,no clasificable,neutro
56,Buenas lo que tengo es el problema de descarga de las fotos si alguien me puede ayudar?? No me avisaron que en elBrazalete se encontraba el codigo de descarga si me pueden ayudar!!!el parque espetacular la comida buena y lo atractivos 10 puntos recomiendo viajar,13 de mayo de 2024;;;;,"general, buffet, naturaleza/atracciones","Positivo, Positivo, Positivo"
57,Una maravilla para repetir,2 de mayo de 2024;;;;,<general>,Positivo
58,Me encanto! Contacto con la naturaleza. Me parecio un lugar maravilloso. Me dejo con muchas ganas de volver. A modo de tips,2 de mayo de 2024;;;;,"general, naturaleza/atracciones, no clasificable",Positivo
59,Un lugar  Magico  en la Riviera Maya,22 de abril de 2024;;;;,<general>,Positivo
60,"Segunda vez que voy es un lugar tan grande  donde cabe todo tipo de experiencias  que quieras vivir  desde adrenalina  como contemplar la Naturaleza  ,lo arqueologicos y las hermosas costumbres  Mexicanas  en si todo excaret es magico  recomiendo conocer el Cementerio  y almorzar  en el restaurante  Yucatan  con una vista impresionante  al mar y un servicio  unico de los meseros realmente  se sienten como amigos y ni que decir de la experiencias  del nado con los delfines ver la felicidad  de mi hija no tiene precio.",22 de abril de 2024;;;;,"general, naturaleza/atracciones, trato personal, buffet, animales","Positivo, Positivo, Positivo, Positivo, Positivo"
61,Entrada al aviario peligrosa porque los pelicanos muerden y no es amplio el camino.,22 de abril de 2024;;;;,"animales, no clasificable",Negativo
62,"Nos encanto!Pero nos toco lluvioso, estaban cerradas las pozas naturales y la torre escenica, estaba inundada la charreria, y no disfrutamos como deberiamos otras actividades",18 de abril de 2024;;;;,"general, naturaleza/atracciones, no clasificable",Negativo
63,No fue lo que esperaba,16 de abril de 2024;;;;,<general>,Negativo
64,"Estuve en 3 parques del grupo Xel-ha lo recomiendo al 100% asi como xplore, pero lamentablemente xcaret no cumplio con mis expectativas, para ser el parque mas costoso no incluye mayor cosa, gran parte de las actividades dentro del parque tienen un costo adicional, solo tiene 1 comida buffet incluida en todo el dia, no tiene snacks o bebidas ilimitadas por el contrario encuentras muchos lugares donde te las venden, adicional lo que mas esperaba era el show nocturno de mexico espectacular pero lamentablemente no fue lo que habia visto en muchos videos, ahora el show lo dividen en 2 partes no tiene un hilo conductor y pierde totalmente la magia, la verdad fue muy triste porque era lo que mas estaba esperando.",12 de abril de 2024;;;;,"general, precio, buffet, show","Negativo, Negativo, Negativo, Negativo"
65,Lugar recomendado para la familia,12 de abril de 2024;;;;,<general>,Positivo
66,"Un lugar muy bien cuidado, limpio, con personal muy capacitado y con gran vocacion de hacernos sentir comodos. La comida en el restaurante Michoacan nos gusto",8 de abril de 2024;;;;,"general, trato personal, buffet","Positivo, Positivo, Positivo"
67,Bueno pero no compren de mas!,7 de abril de 2024;;;;,"<general>, <precio>","Positivo, Negativo"
68,"Bueno peeeero no gasten de mas.Compren protector de agua para el telefono si pueden antes ya que se los intentaran vender alla.El paquete de fotos esta bueno asi que si pueden comprenlo.La actividad adrenalina muy buena, el SEATREAK que nadas con manta rayas en la laguna bastante malo para lo que cobran ...Si compran entrada basica el almuerzo lo pueden encontrar por pareja por 40 dolares aprox.Lleven zapatos de agua y ropa para cambiarse!El show bueno pero no gasten plata en la cena, hay suficiente puesto para todos y de todas partes se ve bien!!",5 de abril de 2024;;;;,"general, precio, show, naturaleza/atracciones","Neutro, Negativo, Positivo, Negativo"
69,Falta de seguridad y maltrato animal en el show,2 de abril de 2024;;;;,"animales, show, no clasificable",Negativo
70,"Habia ido hace anos a Xcaret. Esta vez me decepciono mucho. Durante el show (10/04/2024), una bola de fuego con la que jugaban un partido cayo sobre el publico. En vez de parar y socorrer a las personas como corresponde, prendiendo las luces para brindarles una asistencia adecuada, continuaron el show sin dar ninguna explicacion de como estaba la gente afectada. Ademas, utilizaban animales en el show, que claramente se veian estresados. Por ejemplo, entro en un momento un perro, que lo tenian con arnes, se notaba que estaba muerto de miedo intentando salir de ahi y no podia. Tambien soltaron palomas blancas en un momento. Muchas salieron del recinto rapidamente, pero otras se quedaron dentro del teatro, buscando una salida de un lado al otro. Realmente triste y termine la experiencia con un tinte amargo, viendo muestras de maltrato animal y falta de seguridad.",31 de marzo de 2024;;;;,"show, animales, no clasificable",Negativo
71,Muy bonito parque excelente servicio del personal pero dejan entrar demasiada gente y no se disfruta bien.,30 de marzo de 2024;;;;,"general, trato personal, no clasificable","Positivo, Positivo, Negativo"
72,- Transporte desde y hacia hotel q tiempo y muy bien el camion. Lo malo que hay mucho trafico entre Cancun y Playa del Carmen que estuvimos de 6,28 de marzo de 2024;;;;,"transporte a hoteles, no clasificable","Positivo, Negativo"
73,Excelente todoooo,27 de marzo de 2024;;;;,<general>,Positivo
74,"Que hermoso parque! Tienen que venir a disfrutar uno oh dos dias aca! Este parque es grandisimo!  Esta lleno de cultura por donde lo veas! Excelentemente cuidado todo ofrece una experiencia increible! Tiene shows, playa, senotes, laguna tiene todo lo que uno puede imaginar! Tambien tienen buffer  con comida tipica y de todos lados! Para cerrar el dia tienen el show donde explican la historia de los Mayas! Excelente todooo",25 de marzo de 2024;;;;,"general, naturaleza/atracciones, buffet, show",Positivo
75,Romantico,25 de marzo de 2024;;;;,no clasificable,neutro
76,"Smooth with the flowers mi esposa se sorprendio.  El espacio, comido y servicio estaba excelente!  Tercera ves aqui en xcaret",24 de marzo de 2024;;;;,"general, buffet, trato personal","Positivo, Positivo, Positivo"
77,Rio Xcaret,23 de marzo de 2024;;;;,<no clasificable>,Neutro
78,Los rios subterraneos de Xcaret son fantasticos; el agua es cristalina y fresca ; no fria; si te cansas tiene varias salidas pero no es tan complicado llegar al final ; solo hay que mover los brazos o las piernas no es necesario saber nadar no se lo pierdan,20 de marzo de 2024,naturaleza/atracciones,Positivo
79,Maravilloso,19 de marzo de 2024;;;;,<general>,Positivo
80,"Para pasar un buen dia completo es una magnifica opcion. Los recorridos estan muy bien marcados, por lo que es facil llegar a cualquier sitio. Las actividades de agua, son muy divertidas. La comida buffet, bastante correcta y con gran variedad. Nosotros estuvimos en Baja California y tienen opciones de marisco, pero tambien pasta, arroz y hamburguesa para los crios. Buena atencion. El espectaculo nocturno, una maravilla.",15 de marzo de 2024;;;;,"<general>, <naturaleza/atracciones>, <buffet>, <trato personal>, <show>","Positivo, Positivo, Positivo, Positivo, Positivo"
81,EXPERIENCIA CULTURAL,14 de marzo de 2024;;;;,no clasificable,neutro
82,"Los shows y la conservacion de los elementos culturales hacen q siempre sea una experiencia unica, los sabores de los restaurantes son muy variados con una gastronomia unica",12 de marzo de 2024;;;;,"show, general, buffet","Positivo, Positivo, Positivo"
83,Excelente,11 de marzo de 2024;;;;,<general>,Positivo
84,Nosotros compramos un pase para el parque que inicia a la 16,10 de marzo de 2024;;;;,<no clasificable>,Neutro
85,Lugar imprescindible y representativo de Mexico,10 de marzo de 2024;;;;,<general>,Positivo
86,"Un lugar magnifico pensado en el turismo extranjero, que todos los mexicanos debemos experimentar. Comienzo con todo lo que implica el parque locacion, preservacion, limpieza, detalles etc etc es increible, los alimentos estuvieron de lujo y la atencion excelente por parte del Sr Pedro en el restaurante Yucateco, solo deberian agregar mas postres. Imprescindible el show Mexico Espectacular, la cena fue algo q supero mis expectativas pero si distrae un poco para apreciar el espectaculo, la atencion de Cristhian estuvo super, nos explico cada cosa y nos hizo valorar cada ingrediente. Definitivamente un lugar q representa a nuestro Pais que me puso la piel chinita y sentir el orgullo mexicano hasta las lagrimas.",7 de marzo de 2024;;;;,"general, naturaleza/atracciones, buffet, trato personal, show","Positivo, Positivo, Positivo, Positivo, Positivo"
87,Excelente pero para ninos pequenos es cansado,2 de marzo de 2024;;;;,"<general>, <naturaleza/atracciones>","Positivo, Neutro"
88,"Es un complejo muy bien planeado, lo disfrutamos mucho, tomamos muchas fotos, comimos rico, nos cansamos sabroso, el espectaculo nocturno dura 2 horas y mi cria ya no lo aguanto, pero todo estuvo muy bonito!",27 de febrero de 2024;;;;,"<general>, <buffet>, <show>","Positivo, Positivo, Neutro"
89,Xcaret - imperdible!,23 de febrero de 2024;;;;,<general>,Positivo
90,"Realmente es una excursion increible, es de todo el dia y puede resultar agotadora en algunos casos o con ninos muy chicos.",22 de febrero de 2024;;;;,<general>,Positivo
91,Una experiencia Maravillosa ,20 de febrero de 2024;;;;,<general>,Positivo
92,"Fuimos domingo 18 febrero . Llovio todo el dia hicimos el rio subterraneo que fue mejor de lo que esperabamos , compramos unos impermeables e hicimos todos los recorridos igual . Tal vez no es lo mismo que soleado pero la experiencia fue linda . Nos cambiamos de ropa y fuimos al show .. he ido a muchos en muchos paises y podria decir que es uno de los mas bonitos y completos que he visto ... se me puso la piel de gallina y llore algunas veces . Es realmente maravillosoQue viiiiiiiiiiva Mexico",20 de febrero de 2024;;;;,"general, naturaleza/atracciones, show","Positivo, Positivo, Positivo"
93,NO VAYAN CON LLUVIA,20 de febrero de 2024;;;;,<no clasificable>,Negativo
94,"Nunca vayan con lluvia, muchas de las actividades estaban cerradas o las cambiaron de lugar y NO avisan.Fuimos el dia de ayer sabado 18 y honestamente no estaba lloviendo tanto y aun asi la torre escenica estaba cerrada, no habia jaguares ni panteras, el lugar principal de las flamingos estaba cerrado tambien, voladores de Papantla y el show maya lo cambiaron al area de juego de pelota pero preguntamos en el parque y nadie sabia donde se habia movido y llegamos casi al final cuando nos guiamos por el ruido.Estoy muy triste por que fui para mi cumpleanos despues de 7 anos para poder volver.a disfrutar y pues no hubo mucho.De igual manera pero ser temporada baja mucho de los restaurantes estan cerrados y por comentarios de una chica que trabaja en la hacienda literal nos dijo pues vayan al que sea el unico que sirve comida diferente es el que esta enfrente... Terminamos yendo a Veracruz y las alitas y costillas a veces estaban frias (por dentro) y la salsa calienteEn fin un poco de ahorro desperdiciado.",16 de febrero de 2024;;;;,"general, naturaleza/atracciones, show, buffet, precio","Negativo, Negativo, Negativo, Negativo, Negativo"
95,Volveria,15 de febrero de 2024;;;;,<general>,Positivo
96,"Un dia estupendo. Nosotros no cogimos actividades opcionales, ver el parque ya fue bastante.Trasporte perfectamente organizado. La entrada al parque por el rio casada pero genial. Restauracion bien. Pero lo mejor el espectaculo nocturno, impresionante.",12 de febrero de 2024;;;;,"<general>, <transporte a hoteles>, <naturaleza/atracciones>, <buffet>, <show>","Positivo, Positivo, Positivo, Positivo, Positivo"
97,Hermoso pero muy costoso,12 de febrero de 2024;;;;,"general, precio","Positivo, Negativo"
98,"El parque es hermoso y el nadar en los rios subterraneos es inolvidable.... pero aun con eso creo que la entrada es demasiado costosa.Si vas sin alimentacion incluida,  el buffet para almorzar vale aproximadamente 60 dolares y considerando que hay tanto que recorrer tampoco lo aprovechas tanto.El show nocturno es lindo.Creo que la entrada a las 4 de la tarde (que es mas barata) vale la pena para nadar por los rios, visitar el aviario y ver el show.Las demas actividades se pagan aparte y son muy costosas.",7 de febrero de 2024;;;;,"general, naturaleza/atracciones, precio, buffet, show","Positivo, Positivo, Negativo, Negativo, Positivo"
99,Xcaret plus mas transporte de xcaret,5 de febrero de 2024;;;;,no clasificable,neutro
100,"Excelente parque y atencion de los que ahi trabajan, pasamos un dia fabuloso y como broche de oro el show de cierre es inolvidable. 100% recomendado.",4 de febrero de 2024;;;;,"general, trato personal, show",Positivo
101,Pesima experiencia,31 de enero de 2024;;;;,<general>,Negativo
102,"Pesimo servicio, el bus nos pasaba a buscar a las 6",31 de enero de 2024;;;;,"trato personal, transporte a hoteles",Negativo
103,Vivir la experiencia fue increible porque disfrute todas las bellezas naturales y culturales que ofrece xcaret! Hermoso!,31 de enero de 2024;;;;,"general, naturaleza/atracciones",Positivo
104,Las vistas eran increibles! Disfrute mucho el rio subterraneo y hacer snorkel. La comida estaba deliciosa y los shows valen mucho la pena!,31 de enero de 2024;;;;,"general, naturaleza/atracciones, buffet, show","Positivo, Positivo, Positivo, Positivo"
105,Espectaculo nocturno maravilloso,29 de enero de 2024;;;;,show,positivo
106,"Muy buen parque tematico, me encanto todos sus atracciones acuaticas, lindas playas, zoologico incluidos, duchas en cada zona y el bufets , toda la comida muy buena, y el espectaculo de la noche excelente, maravilloso",29 de enero de 2024;;;;,"general, naturaleza/atracciones, animales, buffet, show","Positivo, Positivo, Positivo, Positivo, Positivo"
107,Carisimo,28 de enero de 2024;;;;,"precio, no clasificable",Negativo
